cip_code,cip_title,stem
01.0000,"Agriculture, General.",0
01.0101,"Agricultural Business and Management, General.",0
01.0102,Agribusiness/Agricultural Business Operations.,0
01.0103,Agricultural Economics.,0
01.0104,Farm/Farm and Ranch Management.,0
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,0
01.0106,Agricultural Business Technology.,0
01.0199,"Agricultural Business and Management, Other.",0
01.0201,"Agricultural Mechanization, General.",0
01.0204,Agricultural Power Machinery Operation.,0
01.0205,Agricultural Mechanics and Equipment/Machine Technology.,0
01.0299,"Agricultural Mechanization, Other.",0
01.0301,"Agricultural Production Operations, General.",0
01.0302,Animal/Livestock Husbandry and Production.,0
01.0303,Aquaculture.,0
01.0304,Crop Production.,0
01.0306,Dairy Husbandry and Production.,0
01.0307,Horse Husbandry/Equine Science and Management.,0
01.0308,Agroecology and Sustainable Agriculture.,1
01.0309,Viticulture and Enology.,0
01.0399,"Agricultural Production Operations, Other.",0
01.0401,Agricultural and Food Products Processing.,0
01.0504,Dog/Pet/Animal Grooming.,0
01.0505,Animal Training.,0
01.0507,Equestrian/Equine Studies.,0
01.0508,Taxidermy/Taxidermist.,0
01.0599,"Agricultural and Domestic Animal Services, Other.",0
01.0601,"Applied Horticulture/Horticulture Operations, General.",0
01.0603,Ornamental Horticulture.,0
01.0604,Greenhouse Operations and Management.,0
01.0605,Landscaping and Groundskeeping.,0
01.0606,Plant Nursery Operations and Management.,0
01.0607,Turf and Turfgrass Management.,0
01.0608,Floriculture/Floristry Operations and Management.,0
01.0699,"Applied Horticulture/Horticultural Business Services, Other.",0
01.0701,International Agriculture.,0
01.0801,Agricultural and Extension Education Services.,0
01.0802,Agricultural Communication/Journalism.,0
01.0899,"Agricultural Public Services, Other.",0
01.0901,"Animal Sciences, General.",1
01.0902,Agricultural Animal Breeding.,1
01.0903,Animal Health.,1
01.0904,Animal Nutrition.,1
01.0905,Dairy Science.,1
01.0906,Livestock Management.,1
01.0907,Poultry Science.,1
01.0999,"Animal Sciences, Other.",1
01.1001,Food Science.,1
01.1002,Food Technology and Processing.,1
01.1099,"Food Science and Technology, Other.",1
01.1101,"Plant Sciences, General.",1
01.1102,Agronomy and Crop Science.,1
01.1103,Horticultural Science.,1
